scientific_name,name_da,status,source,license,attribution,issues,recommendations
"Fratercula arctica","Lunde","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Fratercula%20arctica; Document original source or replace with properly attributed image"
"Cepphus grylle","Tejst","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Cepphus%20grylle; Document original source or replace with properly attributed image"
"Fulmarus glacialis","Mallemuk","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Fulmarus%20glacialis; Document original source or replace with properly attributed image"
"Gulosus aristotelis","Topskarv","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Gulosus%20aristotelis; Document original source or replace with properly attributed image"
"Haematopus ostralegus","Strandskade","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Haematopus%20ostralegus; Document original source or replace with properly attributed image"
"Vanellus vanellus","Vibe","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Vanellus%20vanellus; Document original source or replace with properly attributed image"
"Tringa totanus","Rødben","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Tringa%20totanus; Document original source or replace with properly attributed image"
"Tringa nebularia","Hvidklire","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Tringa%20nebularia; Document original source or replace with properly attributed image"
"Tringa ochropus","Svaleklire","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Tringa%20ochropus; Document original source or replace with properly attributed image"
"Tringa glareola","Mudderklire","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Tringa%20glareola; Document original source or replace with properly attributed image"
"Actitis hypoleucos","Tinksmed","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Actitis%20hypoleucos; Document original source or replace with properly attributed image"
"Numenius arquata","Stor regnspove","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Numenius%20arquata; Document original source or replace with properly attributed image"
"Numenius phaeopus","Lille regnspove","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Numenius%20phaeopus; Document original source or replace with properly attributed image"
"Limosa lapponica","Lille kobbersneppe","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Limosa%20lapponica; Document original source or replace with properly attributed image"
"Limosa limosa","Stor kobbersneppe","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Limosa%20limosa; Document original source or replace with properly attributed image"
"Recurvirostra avosetta","Klyde","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Recurvirostra%20avosetta; Document original source or replace with properly attributed image"
"Calidris pugnax","Brushane","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Calidris%20pugnax; Document original source or replace with properly attributed image"
"Calidris alpina","Almindelig ryle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Calidris%20alpina; Document original source or replace with properly attributed image"
"Calidris alba","Sandløber","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Calidris%20alba; Document original source or replace with properly attributed image"
"Calidris canutus","Islandsk ryle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Calidris%20canutus; Document original source or replace with properly attributed image"
"Calidris maritima","Sortgrå ryle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Calidris%20maritima; Document original source or replace with properly attributed image"
"Calidris minuta","Dværgryle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Calidris%20minuta; Document original source or replace with properly attributed image"
"Gallinago gallinago","Dobbeltbekkasin","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Gallinago%20gallinago; Document original source or replace with properly attributed image"
"Lymnocryptes minimus","Enkeltbekkasin","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Lymnocryptes%20minimus; Document original source or replace with properly attributed image"
"Scolopax rusticola","Skovsneppe","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Scolopax%20rusticola; Document original source or replace with properly attributed image"
"Charadrius hiaticula","Stor præstekrave","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Charadrius%20hiaticula; Document original source or replace with properly attributed image"
"Charadrius dubius","Lille præstekrave","critical","inaturalist","cc-by-nc","(c) Геннадий, some rights reserved (CC BY-NC), uploaded by Геннадий","Non-commercial license (blocks commercial use)","Replace with CC-BY or CC0 licensed image"
"Pluvialis apricaria","Hjejle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Pluvialis%20apricaria; Document original source or replace with properly attributed image"
"Pluvialis squatarola","Strandhjejle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Pluvialis%20squatarola; Document original source or replace with properly attributed image"
"Arenaria interpres","Stenvenderen","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Arenaria%20interpres; Document original source or replace with properly attributed image"
"Phalaropus lobatus","Odinshane","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Phalaropus%20lobatus; Document original source or replace with properly attributed image"
"Phalaropus fulicarius","Thorshane","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Phalaropus%20fulicarius; Document original source or replace with properly attributed image"
"Himantopus himantopus","Stylteløber","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Himantopus%20himantopus; Document original source or replace with properly attributed image"
"Dendrocopos major","Stor flagspætte","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Dendrocopos%20major; Document original source or replace with properly attributed image"
"Dryobates minor","Lille flagspætte","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Dryobates%20minor; Document original source or replace with properly attributed image"
"Picus viridis","Grønspætte","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Picus%20viridis; Document original source or replace with properly attributed image"
